mapping(ms), replan(ms), sfc(ms), mpc(ms), df(ms), 
0.878472, 1, 1, 1, 1, 
0.380037, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0.38657, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
1.02347, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0.537069, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0.088781, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0.488506, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0.361658, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0, 0, 0, 0, 0, 
0.402325, 0, 0, 0.320833, 0.000717, 
0, 0, 0, 0.240801, 0.000351, 
0, 0, 0, 0.425785, 0.001012, 
0, 0, 0, 0.265711, 0.000675, 
0.178872, 0, 0, 0.443254, 0.000997, 
0, 0, 0, 0.283765, 0.001228, 
0, 0, 0, 0.245507, 0.000446, 
0, 0, 0, 0.255455, 0.000654, 
0.149261, 0, 0, 0.294045, 0.000723, 
0, 0, 0, 0.273179, 0.000804, 
0, 0, 0, 0.443671, 0.001201, 
0, 0, 0, 0.421755, 0.000933, 
0, 0, 0, 0.396736, 0.000945, 
0, 0, 0, 0.318063, 0.000683, 
0.544941, 0, 0, 0.398306, 0.000656, 
0, 0, 0, 0.256694, 0.000725, 
0, 0, 0, 0.257343, 0.000659, 
0, 0, 0, 0.279414, 0.0006, 
0, 0, 0, 0.268011, 0.00052, 
0.194716, 0, 0, 0.426809, 0.000927, 
0, 0, 0, 0.261004, 0.00083, 
0, 0, 0, 0.300801, 0.000514, 
0, 0, 0, 0.42887, 0.001144, 
0.061538, 0, 0, 0.266221, 0.001104, 
0, 0, 0, 0.34917, 0.000583, 
0, 0, 0, 0.280556, 0.000635, 
0, 0, 0, 0.266842, 0.000551, 
0, 0, 0, 0.442548, 0.001067, 
0, 0, 0, 0.408214, 0.00128, 
0.437743, 0, 0, 0.430534, 0.001247, 
0, 0, 0, 0.410364, 0.001256, 
0, 0, 0, 0.398394, 0.001207, 
0, 0, 0, 0.441748, 0.001222, 
0, 0, 0, 0.422514, 0.001258, 
0.425685, 0, 0, 0.394359, 0.000974, 
0, 0, 0, 0.394281, 0.00103, 
0, 0, 0, 0.387903, 0.000921, 
0, 0, 0, 0.39479, 0.001109, 
0, 0, 0, 0.438411, 0.001269, 
0.057256, 0, 0, 0.418973, 0.001107, 
0, 0, 0, 0.41444, 0.001064, 
0, 0, 0, 0.291834, 0.000692, 
0, 0, 0, 0.409695, 0.001185, 
0.211719, 0, 0, 0.390882, 0.000977, 
0, 0, 0, 0.413832, 0.000809, 
