Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00219849, 0.000357344, 0.00183954, 0.00092206, 6806, 1979, 65307
0.000768101, 0.000276869, 0.000489927, 0.000201005, 6306, 1866, 16335
0.000474057, 0.000229849, 0.000243661, 9.0869e-05, 5996, 1811, 6897
0.000457915, 0.000266331, 0.000191032, 5.4276e-05, 6205, 1816, 3267
0.000728544, 0.000408303, 0.00031902, 7.7893e-05, 6827, 1970, 2805
0.000378486, 0.000247449, 0.00012971, 2.4233e-05, 6515, 1904, 1089
0.000476157, 0.000330182, 0.000145553, 1.1535e-05, 6573, 1894, 396
0.000288918, 0.000224965, 6.331e-05, 3.541e-06, 6164, 1797, 165
0.000422405, 0.000319178, 0.000102725, 6.771e-06, 6653, 1947, 264
0.000365176, 0.000299694, 6.4717e-05, 2.808e-06, 6682, 1929, 132
0.000250114, 0.000186148, 6.335e-05, 3.943e-06, 6226, 1876, 231
0.000647454, 0.000483648, 0.000163117, 9.338e-06, 6304, 1837, 198
0.000482941, 0.000374697, 0.00010773, 5.902e-06, 6832, 1965, 264
0.000485074, 0.000367051, 0.000117274, 3.159e-06, 6729, 1927, 99
0.000344842, 0.000271793, 7.2468e-05, 1.933e-06, 6496, 1904, 66
0.000397281, 0.000297503, 9.9382e-05, 5.147e-06, 6630, 1951, 231
0.000280618, 0.000212336, 6.7823e-05, 3.748e-06, 6810, 2000, 198
0.000348612, 0.000283302, 6.4154e-05, 1.453e-06, 6672, 1959, 66
0.000394228, 0.000288002, 0.000105662, 4.132e-06, 6263, 1835, 165
0.000280491, 0.000218423, 6.1481e-05, 2.263e-06, 6751, 1936, 99
0.000401368, 0.000304842, 9.5936e-05, 1.166e-06, 6552, 1871, 33
0.000425723, 0.000331232, 9.3762e-05, 0, 6695, 1966, 0
0.000385346, 0.000291448, 9.3467e-05, 1.907e-06, 6566, 1877, 66
0.000337727, 0.000229798, 0.00010707, 0, 6422, 1899, 0
0.000396203, 0.000295772, 0.000100029, 5.197e-06, 6228, 1860, 198
0.000401758, 0.000300328, 0.000101039, 1.274e-06, 6785, 1985, 33
0.000283659, 0.00022701, 5.5241e-05, 0, 6293, 1834, 0
0.000336398, 0.00024655, 8.8531e-05, 0, 6706, 1932, 0
0.000709418, 0.000456918, 0.000250236, 5.308e-06, 6835, 1956, 33
0.000408157, 0.00029314, 0.000113606, 0, 6050, 1789, 0
0.000404612, 0.000307203, 9.6532e-05, 1.235e-06, 6535, 1919, 33
0.000464865, 0.000310317, 0.000153002, 4.813e-06, 6390, 1896, 66
0.000320761, 0.000235531, 8.4251e-05, 0, 6532, 1934, 0
0.000424417, 0.000325508, 9.8186e-05, 1.571e-06, 6761, 1943, 66
0.00047714, 0.000338521, 0.000137554, 0, 6607, 1924, 0
0.000298695, 0.000224692, 7.2421e-05, 0, 6494, 1907, 0
0.000411869, 0.000307771, 0.000103717, 1.391e-06, 6618, 1924, 66
0.000381154, 0.000319767, 6.0626e-05, 8.71e-07, 6399, 1897, 33
0.000381608, 0.000292434, 8.8562e-05, 0, 6550, 1919, 0
0.000310604, 0.000254209, 5.5675e-05, 0, 6305, 1871, 0
0.000363256, 0.000303235, 5.8434e-05, 8.59e-07, 6743, 1938, 33
0.000267505, 0.000208054, 5.8861e-05, 8.53e-07, 6623, 1872, 33
0.000367877, 0.000299833, 6.6932e-05, 0, 6847, 1989, 0
0.00041103, 0.000322775, 8.753e-05, 0, 6229, 1843, 0
0.000266599, 0.000210661, 5.5049e-05, 0, 5971, 1812, 0
0.000313426, 0.000232548, 7.9843e-05, 0, 6717, 1971, 0
0.000446357, 0.000380163, 6.5151e-05, 0, 6794, 1959, 0
0.000464532, 0.000369141, 9.4031e-05, 0, 6563, 1906, 0
0.000378049, 0.00027292, 0.000104415, 0, 6139, 1777, 0
0.000408957, 0.000349315, 5.8752e-05, 0, 6780, 1942, 0
0.000344838, 0.000269765, 7.4092e-05, 0, 6598, 1908, 0
0.000252722, 0.00019078, 6.1358e-05, 0, 6474, 1923, 0
0.000426044, 0.000257898, 0.000167603, 5.7002e-05, 6551, 1923, 3828
0.00135753, 0.00029916, 0.00105771, 0.000512139, 6558, 2074, 40854
0.00087212, 0.000220683, 0.000650882, 0.000277182, 6760, 2123, 27918
0.00110893, 0.000336317, 0.000771632, 0.000334938, 6207, 2153, 30228
0.00111411, 0.000260655, 0.000852747, 0.000378179, 5957, 2189, 26334
0.000886303, 0.000207519, 0.000678089, 0.000300572, 6874, 2387, 29337
0.00101122, 0.000280632, 0.000729455, 0.000328298, 6877, 2578, 31185
0.000886212, 0.000239404, 0.000646042, 0.000274276, 6759, 2512, 27060
0.00102701, 0.000293643, 0.000731914, 0.000312186, 6744, 2307, 31152
0.00104094, 0.000324517, 0.000715498, 0.000305786, 6305, 2160, 22110
0.000761797, 0.000241842, 0.000518168, 0.000223553, 6504, 2122, 20229
0.000788162, 0.000262876, 0.000524274, 0.000221213, 6772, 2169, 19569
0.000783066, 0.000216845, 0.000564611, 0.000264105, 6106, 2051, 21186
0.000964959, 0.000203474, 0.000760385, 0.000342948, 5772, 2176, 31548
0.000798378, 0.000209525, 0.000581965, 0.000250115, 5464, 2156, 23199
0.000572213, 0.000178179, 0.000393392, 0.000167926, 6365, 2123, 14025
0.000944946, 0.000284815, 0.000659258, 0.000276344, 6077, 2036, 13893
0.000790742, 0.000215121, 0.000574701, 0.00023557, 6672, 2253, 18876
0.000681807, 0.000210724, 0.00047035, 0.000201162, 6487, 2243, 16962
0.000513616, 0.000178257, 0.000334763, 0.000136786, 5587, 1931, 12177
0.00105017, 0.000217626, 0.000832001, 0.000362591, 6142, 2354, 22242
0.000717649, 0.000226983, 0.000489777, 0.000205757, 5892, 2063, 14850
0.000480152, 0.000181052, 0.000297827, 0.000109891, 5966, 1898, 8481
0.000853068, 0.000288135, 0.000561102, 0.000235028, 6382, 2270, 22572
0.000593746, 0.000237346, 0.00035511, 0.000143851, 6423, 2223, 14058
0.00052582, 0.000192116, 0.000332851, 0.00013501, 5702, 1980, 11088
0.000514361, 0.000198055, 0.000315371, 0.00012556, 6237, 2091, 9933
0.000500861, 0.000188033, 0.000311662, 0.000127056, 5671, 1952, 9075
0.000760936, 0.000188233, 0.000571887, 0.000253047, 5897, 2181, 14289
0.000614274, 0.000213858, 0.000399102, 0.000169518, 5809, 2125, 12144
0.000772743, 0.000233518, 0.000538734, 0.000232993, 5767, 2548, 18183
0.000757083, 0.000262869, 0.00049379, 0.000205031, 5403, 2413, 12936
0.000589327, 0.000182928, 0.000405437, 0.000167249, 6348, 2026, 15015
0.000524618, 0.000169374, 0.000354413, 0.000140042, 6220, 1825, 11583
0.000439961, 0.000188128, 0.000250477, 0.000100442, 5709, 1645, 8184
0.000459511, 0.000193272, 0.000265526, 0.000105115, 6252, 2089, 8151
0.00061705, 0.000223709, 0.000392304, 0.000156749, 6017, 2227, 11979
0.000674563, 0.000224268, 0.000449191, 0.000187192, 5438, 2322, 12903
0.000677672, 0.000324858, 0.000351539, 0.000137147, 6311, 2452, 9867
